order_id,order_date,region,product_category,product_name,sales_rep,customer_segment,units_sold,unit_price,unit_cost,discount_pct
100038,2024-04-11,East,Furniture,Standing Desk,Grace Park,SMB,17,245.26,134.89,0.1
100039,2024-08-19,South,Office Supplies,Pen Set,Hassan Ali,Enterprise,7,116.82,52.57,0.1
100040,2024-03-01,South,Electronics,"Monitor 27""",Alice Chen,Enterprise,9,356.14,231.49,0.0
100041,2024-10-04,North,Electronics,Webcam HD,Grace Park,Consumer,4,954.31,620.3,0.0
100042,2024-09-13,West,Office Supplies,Stapler,Bob Martinez,SMB,30,56.45,25.4,0.0
100043,2024-05-09, north ,Office Supplies,Stapler,Bob Martinez,Enterprise,32,22.66,10.2,0.05
100044,2024-01-25,South,Office Supplies,Notebook Pack,Grace Park,Enterprise,34,92.98,41.84,0.0
100045,2024-12-21,East,Software,CRM License,Carol Singh,Enterprise,8,362.86,72.57,0.0
100046,2024-06-12,East,Office Supplies,Printer Paper,Eva Rossi,Enterprise,23,84.76,38.14,0.0
100047,2024-11-22,North,Furniture,Bookshelf,Bob Martinez,SMB,44,151.1,83.11,0.0
100048,2024-09-05,West,Electronics,Webcam HD,Eva Rossi,SMB,48,1188.55,772.56,0.0
100049,2024-10-11,East,Software,Design Suite,Eva Rossi,SMB,21,340.76,68.15,0.0
100050,2024-10-05,North,Furniture,Bookshelf,Hassan Ali,Consumer,21,484.68,266.57,0.0
100051,2024-03-12,South,Electronics,Webcam HD,Alice Chen,Enterprise,23,323.74,210.43,0.0
100052,2024-05-13,West,Office Supplies,Notebook Pack,Hassan Ali,SMB,2,22.74,10.23,0.1
100053,2024-06-19,East,Furniture,Standing Desk,Grace Park,,11,418.05,229.93,0.0
100054,2024-07-01,West,Furniture,Standing Desk,Frank Lee,Consumer,44,899.04,494.47,0.0
100055,2024-01-17,North,Electronics,"Monitor 27""",Hassan Ali,SMB,1,1491.58,969.53,0.0
100056,2024-07-19,East,Software,Design Suite,Bob Martinez,,31,340.7,68.14,0.05
100057,2024-02-26,South,Software,Design Suite,Grace Park,Consumer,23,548.36,109.67,0.0
100058,2024-09-29,South,Office Supplies,Printer Paper,Frank Lee,SMB,22,78.22,35.2,0.0
100059,2024-09-06,South,Furniture,Bookshelf,Grace Park,Enterprise,21,234.74,129.11,0.0
100060,2024-12-03, north ,Office Supplies,Pen Set,Carol Singh,Enterprise,25,41.38,18.62,0.0
100061,2024-09-29,North,Electronics,Docking Station,Alice Chen,Enterprise,35,956.25,621.56,0.05
100062,2024-05-14,North,Office Supplies,Ink Cartridge,Frank Lee,SMB,19,13.26,5.97,0.05
100063,2024-12-20,North,Electronics,Webcam HD,Bob Martinez,Consumer,30,914.34,594.32,0.0
100064,2024-05-30,East,Office Supplies,Printer Paper,Hassan Ali,Consumer,22,61.82,27.82,0.0
100065,2024-04-29,South,Electronics,Wireless Mouse,Frank Lee,Enterprise,19,657.88,427.62,0.0
100066,2024-11-27,South,Office Supplies,Ink Cartridge,Alice Chen,Consumer,25,98.21,44.19,0.0
100067,2024-05-15,South,Office Supplies,Printer Paper,Bob Martinez,Enterprise,33,9.89,4.45,0.0
100068,2024-01-28,South,Electronics,Laptop Pro,Eva Rossi,Consumer,33,461.75,300.14,0.1
100069,2024-06-20,West,Software,CRM License,Hassan Ali,Enterprise,34,469.66,93.93,0.1
100070,2024-10-18,West,Office Supplies,Notebook Pack,David Okafor,Consumer,7,75.59,34.02,0.0
100071,2024-03-10,East,Electronics,Wireless Mouse,Frank Lee,SMB,28,297.52,193.39,0.05
100072,2024-06-18,South,Furniture,Bookshelf,Hassan Ali,Consumer,13,681.16,374.64,0.0
100073,2024-02-17,North,Furniture,Standing Desk,Bob Martinez,Consumer,4,682.0,375.1,0.1
100074,2024-09-08,South,Software,Backup Service,Alice Chen,SMB,10,559.67,111.93,0.0
100075,2024-06-23,West,Electronics,Docking Station,Carol Singh,Enterprise,41,1076.45,699.69,0.0
100076,2024-04-30,South,Office Supplies,Printer Paper,Carol Singh,Enterprise,12,102.26,46.02,0.0
100077,2024-03-24,South,Software,Backup Service,Hassan Ali,SMB,14,113.74,22.75,0.0
100078,2024-07-25,North,Electronics,Laptop Pro,Bob Martinez,Enterprise,30,572.57,372.17,0.0
100079,2024-09-02,South,Office Supplies,Stapler,Eva Rossi,Enterprise,28,8.69,3.91,0.0
100080,2024-12-10,East,Electronics,Wireless Mouse,Grace Park,Enterprise,1,793.51,515.78,0.0
100081,2024-06-08,South,Office Supplies,Pen Set,Eva Rossi,SMB,24,7.51,3.38,0.0
100082,2024-02-28,South,Electronics,Laptop Pro,Bob Martinez,Consumer,31,228.95,148.82,0.0
100083,2024-10-31,South,Office Supplies,Notebook Pack,Hassan Ali,SMB,41,111.85,50.33,0.0
100084,2024-08-18,South,Office Supplies,Stapler,Alice Chen,Enterprise,6,118.58,53.36,0.0
100085,2024-09-13,West,Furniture,Ergo Chair,David Okafor,SMB,17,882.0,485.1,0.0
100086,2024-02-05,North,Software,Backup Service,Alice Chen,SMB,11,99.89,19.98,0.0
100087,2024-04-24,South,Software,Backup Service,Grace Park,,28,327.5,65.5,0.0
100088,2024-10-08,North,Software,Backup Service,Frank Lee,SMB,18,587.09,117.42,0.0
100089,2024-10-31,North,Furniture,Ergo Chair,Bob Martinez,Enterprise,21,637.63,350.7,0.0
100090,2024-06-08,North,Furniture,Ergo Chair,Alice Chen,SMB,15,462.54,254.4,0.0
100091,2024-10-21,East,Electronics,Webcam HD,Alice Chen,Consumer,23,645.45,419.54,0.0
100092,2024-11-04,North,Electronics,Docking Station,Bob Martinez,Enterprise,34,1249.03,811.87,0.1
100093,2024-05-21,East,Office Supplies,Notebook Pack,Bob Martinez,Consumer,19,44.28,19.93,0.0
100094,2024-11-24,East,Electronics,Wireless Mouse,Carol Singh,Enterprise,19,1405.97,913.88,0.0
100095,2024-04-15,North,Electronics,Laptop Pro,Carol Singh,Enterprise,15,242.65,157.72,0.0
100096,2024-03-28,South,Furniture,Filing Cabinet,Bob Martinez,Enterprise,14,153.58,84.47,0.0
100097,2024-09-06,West,Software,CRM License,Eva Rossi,Consumer,46,327.32,65.46,0.0
100098,2024-08-21,West,Office Supplies,Notebook Pack,Frank Lee,,48,54.95,24.73,0.05
100099,2024-02-21,South,Software,Backup Service,Grace Park,Enterprise,18,596.85,119.37,0.0
100100,2024-10-31,East,Electronics,Docking Station,Carol Singh,Consumer,25,983.13,639.03,0.1
100101,2024-03-14,North,Furniture,Standing Desk,Carol Singh,Enterprise,19,447.54,246.15,0.0
100102,2024-10-21,South,Software,CRM License,Frank Lee,Consumer,12,284.28,56.86,0.0
100103,2024-01-03,South,Electronics,Wireless Mouse,Carol Singh,SMB,30,397.34,258.27,0.0
100104,2024-10-18,South,Software,Backup Service,Eva Rossi,Consumer,12,481.6,96.32,0.15
100105,2024-10-15,North,Office Supplies,Pen Set,Eva Rossi,Enterprise,13,99.1,44.59,0.0
100106,2024-10-12,West,Electronics,"Monitor 27""",Bob Martinez,SMB,37,276.5,179.72,0.0
100107,2024-08-31,North,Furniture,Filing Cabinet,Alice Chen,Enterprise,16,623.6,342.98,0.1
100108,2024-06-21,West,Electronics,"Monitor 27""",David Okafor,SMB,16,1133.48,736.76,0.0
100109,2024-09-15,North,Software,CRM License,David Okafor,SMB,12,529.89,105.98,0.1
100110,2024-04-11,North,Electronics,Wireless Mouse,Frank Lee,Consumer,39,609.13,395.93,0.0
100111,2024-10-12,South,Electronics,Wireless Mouse,Frank Lee,Consumer,20,529.3,344.04,0.0
100112,2024-07-22,North,Office Supplies,Printer Paper,Hassan Ali,SMB,15,15.81,7.11,0.1
100113,2024-06-16,West,Electronics,Docking Station,Eva Rossi,Enterprise,41,678.85,441.25,0.0
100114,2024-07-04,North,Furniture,Bookshelf,Carol Singh,SMB,11,241.51,132.83,0.0
100115,2024-07-27,South,Furniture,Bookshelf,David Okafor,SMB,1,712.93,392.11,0.0
100116,2024-01-14,West,Office Supplies,Printer Paper,Hassan Ali,Consumer,36,11.75,5.29,0.0
100117,2024-02-21,West,Furniture,Bookshelf,Bob Martinez,Enterprise,2,540.85,297.47,0.05
100118,2024-03-30,South,Office Supplies,Pen Set,Eva Rossi,SMB,34,75.43,33.94,0.05
100119,2024-02-11,West,Electronics,Webcam HD,Grace Park,SMB,7,481.15,312.75,0.0
100120,2024-06-09,SOUTH,Electronics,Webcam HD,David Okafor,SMB,14,465.67,302.69,0.0
100121,2024-09-01,West,Electronics,Webcam HD,Frank Lee,Enterprise,10,1463.69,951.4,0.0
100122,2024-08-27,South,Electronics,Docking Station,Hassan Ali,SMB,2,256.13,166.48,0.0
100123,2024-06-21,West,Office Supplies,Notebook Pack,David Okafor,SMB,42,60.9,27.4,0.0
100124,2024-11-08,East,Furniture,Ergo Chair,David Okafor,Consumer,19,895.91,492.75,0.0
100125,2024-07-25,North,Furniture,Ergo Chair,Grace Park,Enterprise,4,223.12,122.72,0.0
100126,2024-01-29,West,Electronics,Webcam HD,David Okafor,SMB,3,304.36,197.83,0.0
100127,2024-10-06,North,Electronics,Webcam HD,Eva Rossi,,37,847.4,550.81,0.0
100128,2024-07-29,West,Electronics,Docking Station,Eva Rossi,SMB,25,1328.71,863.66,0.0
100129,2024-08-20,North,Electronics,Wireless Mouse,Carol Singh,Enterprise,41,1146.25,745.06,0.0
100130,2024-07-25,North,Software,Security Suite,Eva Rossi,Enterprise,36,63.07,12.61,0.0
100131,2024-07-21,North,Office Supplies,Pen Set,David Okafor,SMB,38,96.49,43.42,0.0
100132,2024-02-03,West,Electronics,Wireless Mouse,Alice Chen,Enterprise,33,820.94,533.61,0.1
100133,2024-07-23,East,Electronics,Docking Station,Eva Rossi,SMB,12,676.56,439.76,0.0
100134,2024-10-17,South,Furniture,Filing Cabinet,Bob Martinez,SMB,10,202.95,111.62,0.1
100135,2024-04-21,North,Office Supplies,Notebook Pack,Bob Martinez,Consumer,19,32.32,14.54,0.0
100136,2024-08-08,North,Office Supplies,Printer Paper,Grace Park,Enterprise,43,91.03,40.96,0.0
100137,2024-01-12,West,Furniture,Bookshelf,Hassan Ali,Enterprise,8,568.06,312.43,0.0
100138,2024-05-07,North,Electronics,"Monitor 27""",David Okafor,SMB,23,1229.95,799.47,0.05
100139,2024-06-08,West,Electronics,Webcam HD,Carol Singh,SMB,42,586.64,381.32,0.1
100140,2024-12-25,East,Software,Design Suite,David Okafor,SMB,14,317.91,63.58,0.0
100141,2024-03-19,East,Electronics,"Monitor 27""",Bob Martinez,Consumer,4,361.0,234.65,0.05
100142,2024-04-11,North,Software,Backup Service,Carol Singh,Enterprise,30,430.52,86.1,0.0
100143,2024-05-29,West,Office Supplies,Notebook Pack,Frank Lee,SMB,43,42.08,18.94,0.15
100144,2024-12-29,East,Office Supplies,Stapler,Alice Chen,Consumer,14,119.73,53.88,0.0
100145,2024-11-08,East,Furniture,Standing Desk,David Okafor,,15,120.24,66.13,0.0
100146,2024-01-13,East,Office Supplies,Notebook Pack,Hassan Ali,SMB,29,95.88,43.15,0.0
100147,2024-03-26,East,Electronics,Wireless Mouse,Grace Park,Enterprise,39,885.62,575.65,0.0
100148,2024-10-27,North,Office Supplies,Printer Paper,Hassan Ali,SMB,10,100.16,45.07,0.0
100149,2024-01-22,South,Furniture,Bookshelf,Eva Rossi,Consumer,15,673.12,370.22,0.0
100150,2024-11-09,North,Electronics,"Monitor 27""",Hassan Ali,SMB,9,1427.39,927.8,0.0
100151,2024-04-12,North,Furniture,Standing Desk,Grace Park,Consumer,35,394.34,216.89,0.05
100152,2024-12-01,North,Office Supplies,Pen Set,Hassan Ali,SMB,43,10.86,4.89,0.1
100153,2024-04-17,East,Office Supplies,Pen Set,David Okafor,Enterprise,25,99.24,44.66,0.0
100154,2024-06-07,East,Software,Design Suite,Frank Lee,Enterprise,30,79.33,15.87,0.1
100155,2024-08-30,East,Office Supplies,Pen Set,Alice Chen,SMB,30,53.27,23.97,0.0
100156,2024-02-16,North,Software,Design Suite,Carol Singh,Enterprise,6,351.74,70.35,0.0
100157,2024-07-22,East,Furniture,Standing Desk,Bob Martinez,SMB,14,828.01,455.41,0.1
100158,2024-07-03, West,Software,Design Suite,Eva Rossi,SMB,36,401.57,80.31,0.0
100159,2024-10-13,West,Office Supplies,Printer Paper,Alice Chen,Consumer,22,48.39,21.78,0.0
100160,2024-12-30,South,Furniture,Bookshelf,Alice Chen,Enterprise,15,512.59,281.92,0.0
100161,2024-08-31,North,Furniture,Filing Cabinet,David Okafor,Enterprise,11,525.51,289.03,0.0
100162,2024-05-29,West,Electronics,Wireless Mouse,Grace Park,Enterprise,34,541.11,351.72,0.0
100163,2024-05-28,East,Office Supplies,Printer Paper,Eva Rossi,SMB,25,64.41,28.98,0.0
100164,2024-06-01,North,Electronics,Wireless Mouse,Frank Lee,Consumer,27,220.54,143.35,0.0
100165,2024-10-24,West,Office Supplies,Notebook Pack,Grace Park,SMB,54,85.12,38.3,0.0
100166,2024-04-27,West,Electronics,"Monitor 27""",Eva Rossi,Enterprise,40,453.02,294.46,0.0
100167,2024-03-02,SOUTH,Electronics,Wireless Mouse,Grace Park,SMB,34,723.08,470.0,0.1
100168,2024-05-02,East,Electronics,Webcam HD,Hassan Ali,Consumer,11,315.35,204.98,0.0
100169,2024-01-09,West,Furniture,Filing Cabinet,Grace Park,SMB,28,454.53,249.99,0.0
100170,2024-02-08,North,Office Supplies,Pen Set,Hassan Ali,SMB,10,45.39,20.43,0.1
100171,2024-02-02,South,Office Supplies,Pen Set,Bob Martinez,Enterprise,12,61.84,27.83,0.1
100172,2024-10-09,West,Software,Design Suite,Hassan Ali,Consumer,60,175.58,35.12,0.1
100173,2024-09-21,South,Office Supplies,Stapler,Bob Martinez,Enterprise,28,38.18,17.18,0.0
100174,2024-09-12,South,Software,Security Suite,Eva Rossi,SMB,26,285.73,57.15,0.0
100175,2024-06-18,West,Electronics,"Monitor 27""",Eva Rossi,SMB,47,1187.98,772.19,0.1
100176,2024-09-19,South,Software,Design Suite,Alice Chen,Consumer,30,415.52,83.1,0.05
100177,2024-02-29,South,Office Supplies,Pen Set,Hassan Ali,SMB,36,57.08,25.69,0.0
100178,2024-11-25,East,Electronics,Docking Station,Eva Rossi,Consumer,7,715.52,465.09,0.0
100179,2024-07-02,South,Office Supplies,Ink Cartridge,Eva Rossi,Consumer,30,13.06,5.88,0.0
100180,2024-12-09,East,Furniture,Ergo Chair,Alice Chen,SMB,13,557.24,306.48,0.0
100181,2024-02-25,West,Office Supplies,Stapler,Grace Park,Enterprise,23,97.07,43.68,0.0
100182,2024-07-01,East,Electronics,Docking Station,David Okafor,Enterprise,25,1072.82,697.33,0.0
100183,2024-09-11,West,Furniture,Bookshelf,Grace Park,Consumer,29,889.29,489.11,0.0
100184,2024-06-30,West,Electronics,Webcam HD,Alice Chen,Consumer,19,1095.38,712.0,0.0
100185,2024-06-12,West,Office Supplies,Ink Cartridge,Bob Martinez,SMB,16,107.64,48.44,0.0
100186,2024-03-01,East,Software,CRM License,Hassan Ali,Enterprise,10,126.72,25.34,0.1
100187,2024-05-19,South,Software,CRM License,Eva Rossi,Enterprise,21,356.07,71.21,0.05
100188,2024-03-28,South,Furniture,Ergo Chair,Bob Martinez,SMB,7,723.46,397.9,0.0
100189,2024-04-20,West,Electronics,"Monitor 27""",Carol Singh,Enterprise,2,921.55,599.01,0.0
100190,2024-09-07,SOUTH,Electronics,Laptop Pro,Carol Singh,SMB,21,947.88,616.12,0.0
100191,2024-08-18,North,Office Supplies,Pen Set,Bob Martinez,SMB,8,95.02,42.76,0.0
100192,2024-08-10,South,Electronics,Webcam HD,Eva Rossi,SMB,9,1288.6,837.59,0.0
100193,2024-05-12,West,Software,Backup Service,Eva Rossi,SMB,28,420.78,84.16,0.0
100194,2024-12-17, West,Electronics,Wireless Mouse,Alice Chen,Enterprise,22,1428.25,928.36,0.0
100195,2024-02-02,West,Software,Security Suite,Hassan Ali,Enterprise,9,489.73,97.95,0.0
100196,2024-05-05,West,Furniture,Bookshelf,David Okafor,SMB,31,292.99,161.14,0.0
100197,2024-02-13,North,Office Supplies,Printer Paper,Frank Lee,SMB,30,29.91,13.46,0.0
100198,2024-05-04,East,Software,Design Suite,Bob Martinez,Consumer,15,91.33,18.27,0.0
100199,2024-12-18,West,Office Supplies,Pen Set,Frank Lee,SMB,36,45.63,20.53,0.05
100200,2024-05-14,West,Furniture,Bookshelf,Frank Lee,SMB,4,177.6,97.68,0.0
100201,2024-11-28, West,Electronics,"Monitor 27""",Grace Park,Enterprise,14,258.45,167.99,0.0
100202,2024-06-30,North,Electronics,Wireless Mouse,Alice Chen,Enterprise,23,975.74,634.23,0.0
100203,2024-09-13,South,Office Supplies,Pen Set,Hassan Ali,Enterprise,39,114.92,51.71,0.0
100204,2024-06-16,South,Electronics,Webcam HD,Eva Rossi,SMB,31,488.54,317.55,0.0
100205,2024-04-07,West,Office Supplies,Stapler,Carol Singh,SMB,24,79.73,35.88,0.0
100206,2024-10-06,North,Office Supplies,Ink Cartridge,Carol Singh,SMB,19,33.22,14.95,0.0
100207,2024-12-20,North,Electronics,Wireless Mouse,David Okafor,Consumer,28,689.41,448.12,0.0
100208,2024-04-06,West,Furniture,Bookshelf,Bob Martinez,Consumer,36,621.91,342.05,0.0
100209,2024-10-12,South,Furniture,Bookshelf,Alice Chen,SMB,22,340.53,187.29,0.0
100210,2024-04-05,North,Furniture,Bookshelf,Hassan Ali,Consumer,23,109.7,60.34,0.0
100211,2024-09-19,North,Electronics,Wireless Mouse,Carol Singh,Enterprise,6,481.83,313.19,0.0
100212,2024-10-15,East,Electronics,Laptop Pro,David Okafor,Enterprise,6,914.58,594.48,0.0
100213,2024-06-13,North,Electronics,Wireless Mouse,Bob Martinez,Consumer,29,340.8,221.52,0.0
100214,2024-09-26,West,Office Supplies,Notebook Pack,David Okafor,Consumer,35,15.17,6.83,0.15
100215,2024-04-09,East,Furniture,Standing Desk,Bob Martinez,SMB,11,843.62,463.99,0.15
100216,2024-01-30,South,Office Supplies,Ink Cartridge,Eva Rossi,Enterprise,38,111.13,50.01,0.0
100217,2024-02-05,North,Office Supplies,Notebook Pack,Bob Martinez,SMB,13,57.47,25.86,0.0
100218,2024-06-12,West,Electronics,"Monitor 27""",Alice Chen,Consumer,34,209.73,136.32,0.0
100219,2024-11-26,North,Office Supplies,Notebook Pack,Carol Singh,SMB,21,72.64,32.69,0.0
100220,2024-02-16,East,Electronics,Webcam HD,Frank Lee,Consumer,22,1066.88,693.47,0.0
100221,2024-06-15,North,Electronics,"Monitor 27""",Bob Martinez,Enterprise,35,1482.61,963.7,0.05
100222,2024-09-14,North,Electronics,Docking Station,Frank Lee,Enterprise,19,1237.86,804.61,0.15
100223,2024-03-15,North,Office Supplies,Pen Set,Eva Rossi,Enterprise,32,110.04,49.52,0.0
100224,2024-09-21,North,Electronics,"Monitor 27""",Hassan Ali,Consumer,11,1236.44,803.69,0.15
100225,2024-04-21,East,Electronics,Laptop Pro,Carol Singh,SMB,30,616.59,400.78,0.0
100226,2024-10-22, north ,Furniture,Standing Desk,David Okafor,Enterprise,29,843.09,463.7,0.0
100227,2024-07-30,East,Office Supplies,Pen Set,Eva Rossi,SMB,6,105.64,47.54,0.0
100228,2024-07-19,North,Office Supplies,Printer Paper,Hassan Ali,Enterprise,3,11.98,5.39,0.0
100229,2024-03-05,east,Office Supplies,Printer Paper,Eva Rossi,Consumer,36,40.6,18.27,0.0
100230,2024-06-18,South,Office Supplies,Printer Paper,Frank Lee,Consumer,9,16.28,7.33,0.05
100231,2024-11-09,North,Office Supplies,Stapler,Eva Rossi,Enterprise,29,94.06,42.33,0.0
100232,2024-01-08,North,Office Supplies,Ink Cartridge,Eva Rossi,Consumer,12,92.64,41.69,0.0
100233,2024-10-04,East,Software,Design Suite,Bob Martinez,Enterprise,14,229.39,45.88,0.0
100234,2024-06-29,West,Furniture,Standing Desk,Grace Park,Enterprise,28,195.86,107.72,0.0
100235,2024-09-20,East,Furniture,Filing Cabinet,Carol Singh,Consumer,13,132.86,73.07,0.0
100236,2024-08-30,West,Office Supplies,Notebook Pack,Hassan Ali,Enterprise,36,26.2,11.79,0.0
100237,2024-06-07,West,Office Supplies,Ink Cartridge,Hassan Ali,SMB,11,91.19,41.04,0.0
100238,2024-04-22,east,Software,Backup Service,Alice Chen,Consumer,9,103.65,20.73,0.0
100239,2024-08-17,East,Furniture,Filing Cabinet,Bob Martinez,SMB,28,204.36,112.4,0.0
100240,2024-02-21,East,Furniture,Standing Desk,Hassan Ali,Consumer,10,386.62,212.64,0.0
100241,2024-08-01,North,Office Supplies,Stapler,Hassan Ali,SMB,23,6.87,3.09,0.05
100242,2024-02-04,West,Software,CRM License,Grace Park,Enterprise,36,386.03,77.21,0.0
100243,2024-08-25,North,Electronics,"Monitor 27""",Grace Park,SMB,35,1215.19,789.87,0.0
100244,2024-08-18,North,Furniture,Bookshelf,Bob Martinez,Consumer,24,797.35,438.54,0.1
100245,2024-01-31,West,Furniture,Filing Cabinet,David Okafor,Enterprise,13,148.52,81.69,0.0
100246,2024-10-04,North,Software,CRM License,Alice Chen,Consumer,9,468.46,93.69,0.0
100247,2024-06-01,South,Office Supplies,Notebook Pack,Carol Singh,Enterprise,11,112.84,50.78,0.0
100248,2024-10-15,East,Office Supplies,Printer Paper,Grace Park,SMB,14,23.34,10.5,0.0
100249,2024-01-16,North,Electronics,"Monitor 27""",David Okafor,Enterprise,31,630.63,409.91,0.0
100250,2024-03-06,North,Office Supplies,Ink Cartridge,Bob Martinez,SMB,6,113.55,51.1,0.0
100251,2024-06-29,North,Electronics,Webcam HD,Grace Park,SMB,24,1189.33,773.06,0.0
100252,2024-03-09,West,Furniture,Standing Desk,Carol Singh,Enterprise,12,896.73,493.2,0.0
100253,2024-04-30,East,Office Supplies,Pen Set,Bob Martinez,SMB,11,103.72,46.67,0.0
100254,2024-08-29,East,Furniture,Filing Cabinet,Grace Park,Enterprise,4,352.03,193.62,0.0
100255,2024-02-22,West,Furniture,Standing Desk,Bob Martinez,Consumer,37,870.78,478.93,0.0
100256,2024-09-05,East,Office Supplies,Ink Cartridge,Carol Singh,Enterprise,3,13.81,6.21,0.0
100257,2024-02-07,East,Office Supplies,Pen Set,Alice Chen,Consumer,14,82.97,37.34,0.1
100258,2024-03-05,South,Electronics,Laptop Pro,Grace Park,Consumer,20,534.53,347.44,0.0
100259,2024-08-03,North,Electronics,Laptop Pro,Bob Martinez,SMB,7,1323.3,860.14,0.0
100260,2024-10-17,North,Electronics,"Monitor 27""",Carol Singh,SMB,25,1042.24,677.46,0.0
100261,2024-03-03,North,Electronics,Wireless Mouse,Hassan Ali,Consumer,13,1189.96,773.47,0.1
100262,2024-04-19,east,Software,Backup Service,Hassan Ali,,16,84.41,16.88,0.0
100263,2024-12-04,South,Office Supplies,Printer Paper,Bob Martinez,Consumer,28,72.87,32.79,0.0
100264,2024-12-28,South,Electronics,Webcam HD,Alice Chen,Enterprise,12,556.52,361.74,0.05
100265,2024-07-31,East,Electronics,Docking Station,Bob Martinez,Consumer,16,1080.33,702.21,0.0
100266,2024-06-12,South,Furniture,Standing Desk,Alice Chen,SMB,5,161.94,89.07,0.0
100267,2024-05-06,West,Electronics,Laptop Pro,Hassan Ali,SMB,31,618.7,402.16,0.0
100268,2024-08-12,West,Electronics,Laptop Pro,Eva Rossi,SMB,7,649.2,421.98,0.05
100269,2024-08-04,South,Software,Backup Service,David Okafor,SMB,38,199.01,39.8,0.0
100270,2024-04-17,West,Electronics,Webcam HD,Bob Martinez,SMB,16,255.87,166.32,0.0
100271,2024-01-09,North,Furniture,Bookshelf,Bob Martinez,Enterprise,20,267.03,146.87,0.05
100272,2024-02-25,West,Electronics,Webcam HD,Eva Rossi,SMB,38,1034.16,672.2,0.0
100273,2024-12-16,West,Furniture,Bookshelf,Alice Chen,SMB,65,345.54,190.05,0.0
